CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,CLV,CLV_Segment,Business_Action
12394,154,2,1272.48,2,2,4,224,Lost Customers -_-,2718.026666666666,High Value,Win Back Campaign
12395,6,12,3018.63,5,5,5,555,OG-Champions,1074.6359912402029,Medium Value,Growth Opportunity
12397,137,2,2409.9,2,2,5,225,Lost Customers -_-,5147.564177040111,High Value,Win Back Campaign
12398,47,1,1635.66,3,1,4,314,Promising :),6987.563651452281,High Value,Growth Opportunity
12399,3,4,1108.65,5,4,4,544,OG-Champions,1184.0422890733057,Medium Value,Growth Opportunity
12401,100,1,84.3,2,1,1,211,Lost Customers -_-,360.1308437067773,Low Value,Nurture
12402,325,1,225.6,1,1,1,111,Lost Customers -_-,963.7665283540802,Medium Value,Growth Opportunity
12403,51,1,427.7,3,1,2,312,Promising :),1827.1407100046104,High Value,Growth Opportunity
12405,150,1,1710.39,2,1,4,214,Lost Customers -_-,7306.811313969571,High Value,Win Back Campaign
12406,23,2,3415.3,4,2,5,425,Potential Loyalists ^-^,7295.105993545412,High Value,Growth Opportunity
12407,51,5,1708.12,3,4,4,344,Loyal Customers ;),1459.4227680958966,Medium Value,Growth Opportunity
12408,153,5,2888.55,2,4,5,245,At Risk :(,2467.9856431535272,High Value,Urgent Retention
12409,66,3,11072.67,3,3,5,335,Loyal Customers ;),15767.5365329645,High Value,Upsell Opportunity
12410,253,2,693.33,1,2,3,123,Lost Customers -_-,1480.9579944674963,Medium Value,Growth Opportunity
12412,76,3,1226.88,3,3,4,334,Loyal Customers ;),1747.0831535269708,High Value,Upsell Opportunity
12413,193,3,758.1,1,3,3,133,At Risk :(,1079.5381281696634,Medium Value,Growth Opportunity
12414,189,3,562.41,2,3,3,233,At Risk :(,800.8746058091286,Low Value,Nurture
12415,26,21,124914.53,4,5,5,455,OG-Champions,25411.272146040526,High Value,VIP Retention
12417,41,9,3649.1,4,5,5,455,OG-Champions,1732.1121151580348,High Value,VIP Retention
12418,114,1,668.58,2,1,3,213,Lost Customers -_-,2856.183623789765,High Value,Win Back Campaign
12420,154,1,600.39,2,1,3,213,Lost Customers -_-,2564.874937759336,High Value,Win Back Campaign
12421,17,4,807.04,5,4,3,543,OG-Champions,861.9216966343937,Low Value,Nurture
12422,170,3,803.56,2,3,3,233,At Risk :(,1144.2733917319808,Medium Value,Growth Opportunity
12423,90,8,1859.31,2,5,4,254,At Risk :(,992.874968879668,Medium Value,Growth Opportunity
12424,164,2,1760.96,2,2,4,224,Lost Customers -_-,3761.423550023052,High Value,Win Back Campaign
12425,79,1,777.2,3,1,3,313,Promising :),3320.2098662978333,High Value,Growth Opportunity
12426,196,1,582.73,1,1,3,113,Lost Customers -_-,2489.4311572153065,High Value,Win Back Campaign
12427,23,3,825.8000000000001,4,3,3,433,Loyal Customers ;),1175.9432611034272,Medium Value,Growth Opportunity
12428,27,9,7956.46,4,5,5,455,OG-Champions,3776.679389375544,High Value,VIP Retention
12429,10,4,3750.4,5,4,5,545,OG-Champions,4005.441032733979,High Value,VIP Retention
12430,45,1,256.4,3,1,2,312,Promising :),1095.3445827570308,Medium Value,Growth Opportunity
12431,3,15,6487.45,5,5,5,555,OG-Champions,1847.6321407714768,High Value,VIP Retention
12432,44,5,5059.32,4,4,5,445,OG-Champions,4322.69793637621,High Value,VIP Retention
12433,11,7,13375.87,5,5,5,555,OG-Champions,8163.130568398868,High Value,VIP Retention
12434,86,2,806.14,3,2,3,323,Promising :),1721.920986629783,High Value,Growth Opportunity
12435,81,2,7829.889999999999,3,2,5,325,Promising :),16724.702798524664,High Value,Growth Opportunity
12436,336,1,509.01,1,1,3,113,Lost Customers -_-,2174.498229598893,High Value,Win Back Campaign
12437,10,18,4951.41,5,5,5,555,OG-Champions,1175.1386983248808,Medium Value,Growth Opportunity
12438,16,2,2906.85,5,2,5,525,Potential Loyalists ^-^,6209.053042876902,High Value,Growth Opportunity
12441,486,1,173.55,1,1,1,111,Lost Customers -_-,741.4081604426003,Low Value,Nurture
12442,182,1,172.06,2,1,1,211,Lost Customers -_-,735.0428584601199,Low Value,Nurture
12444,1,5,5005.46,5,4,5,545,OG-Champions,4276.679793453204,High Value,VIP Retention
12445,23,1,133.4,4,1,1,411,Potential Loyalists ^-^,569.8867680958967,Low Value,Nurture
12446,59,1,1002.31,3,1,4,314,Promising :),4281.883107422776,High Value,Growth Opportunity
12447,68,1,476.49,3,1,2,312,Promising :),2035.5723098201936,High Value,Growth Opportunity
12448,46,1,449.45,3,1,2,312,Promising :),1920.057030889811,High Value,Growth Opportunity
12449,24,4,4067.29,4,4,5,445,OG-Champions,4343.880721530659,High Value,VIP Retention
12450,175,2,197.88,2,2,1,221,Lost Customers -_-,422.6731396957123,Low Value,Nurture
12451,12,5,9035.52,5,4,5,545,OG-Champions,7719.974948824343,High Value,VIP Retention
12452,18,2,430.57,5,2,2,522,Potential Loyalists ^-^,919.7006961733516,Medium Value,Growth Opportunity
12453,136,1,707.09,2,1,3,213,Lost Customers -_-,3020.698911940987,High Value,Win Back Campaign
12454,58,1,3528.34,3,1,5,315,Promising :),15073.120534808668,High Value,Growth Opportunity
12455,75,6,2466.86,3,4,5,345,Loyal Customers ;),1756.4103857384357,High Value,Upsell Opportunity
12456,46,3,3181.04,3,3,5,335,Loyal Customers ;),4529.816603657599,High Value,Upsell Opportunity
12457,83,7,2363.23,3,5,5,355,Loyal Customers ;),1442.2504893631035,Medium Value,Growth Opportunity
12458,73,2,947.4,3,2,4,324,Promising :),2023.653388658368,High Value,Growth Opportunity
12461,126,2,826.88,2,2,3,223,Lost Customers -_-,1766.2217796219456,High Value,Win Back Campaign
12462,20,2,1189.59,4,2,4,424,Potential Loyalists ^-^,2540.9730152143843,High Value,Growth Opportunity
12463,7,4,1344.78,5,4,4,544,OG-Champions,1436.23,Medium Value,Growth Opportunity
12464,12,8,1212.05,5,5,4,554,OG-Champions,647.2369352236053,Low Value,Nurture
12465,19,2,742.1899999999999,5,2,3,523,Potential Loyalists ^-^,1585.323314891655,High Value,Growth Opportunity
12468,219,2,729.54,1,2,3,123,Lost Customers -_-,1558.302821576763,Medium Value,Growth Opportunity
12471,12,30,19824.05,5,5,5,555,OG-Champions,2822.954469033348,High Value,VIP Retention
12472,53,7,6572.11,3,5,5,355,Loyal Customers ;),4010.878697227162,High Value,Upsell Opportunity
12473,55,5,3938.55,3,4,5,345,Loyal Customers ;),3365.1087413554637,High Value,Upsell Opportunity
12474,4,18,7375.79,5,5,5,555,OG-Champions,1750.526872086471,High Value,VIP Retention
12475,55,1,723.38,3,1,3,313,Promising :),3090.290032272937,High Value,Growth Opportunity
12476,17,11,6816.42,5,5,5,555,OG-Champions,2647.258800452659,High Value,VIP Retention
12477,24,6,13219.74,4,4,5,445,OG-Champions,9412.487385892116,High Value,VIP Retention
12478,182,1,680.99,2,1,3,213,Lost Customers -_-,2909.199326878746,High Value,Win Back Campaign
12479,13,1,527.2,5,1,3,513,Potential Loyalists ^-^,2252.2061779621945,High Value,Growth Opportunity
12480,30,4,3281.63,4,4,5,445,OG-Champions,3504.792943752881,High Value,VIP Retention
12481,24,10,5596.32,4,5,5,455,OG-Champions,2390.7561604426,High Value,VIP Retention
12483,19,8,2484.98,5,5,5,555,OG-Champions,1326.9839027201476,Medium Value,Growth Opportunity
12484,102,6,4541.72,2,4,5,245,At Risk :(,3233.715807591824,High Value,Urgent Retention
12488,11,3,1298.66,5,3,4,534,Loyal Customers ;),1849.2982265252808,High Value,Upsell Opportunity
12489,163,1,334.93,2,1,2,212,Lost Customers -_-,1430.8259013370216,Medium Value,Growth Opportunity
12490,19,10,5417.93,5,5,5,555,OG-Champions,2314.5476892577226,High Value,VIP Retention
12491,334,1,460.4,1,1,2,112,Lost Customers -_-,1966.835592438912,High Value,Win Back Campaign
12492,107,2,263.21,2,2,2,222,Lost Customers -_-,562.2185016136468,Low Value,Nurture
12493,167,2,433.74,2,2,2,222,Lost Customers -_-,926.4718395573996,Medium Value,Growth Opportunity
12494,17,7,1246.1,5,5,4,554,OG-Champions,760.4796548771652,Low Value,Nurture
12497,83,1,1043.1,3,1,4,314,Promising :),4456.138589211618,High Value,Growth Opportunity
12498,23,3,403.7,4,3,2,432,Loyal Customers ;),574.8707853081297,Low Value,Nurture
12500,25,11,4257.82,4,5,5,455,OG-Champions,1653.5881688251811,High Value,VIP Retention
12501,163,1,2169.39,2,1,5,215,Lost Customers -_-,9267.666085753805,High Value,Win Back Campaign
12502,189,5,3723.87,2,4,5,245,At Risk :(,3181.685515905948,High Value,Urgent Retention
12504,20,2,482.05,4,2,2,422,Potential Loyalists ^-^,1029.6623559243892,Medium Value,Growth Opportunity
12506,234,1,73.5,1,1,1,111,Lost Customers -_-,313.9930843706777,Low Value,Nurture
12507,136,3,1304.81,2,3,4,234,At Risk :(,1858.0558567696328,High Value,Urgent Retention
12508,28,2,398.27,4,2,2,422,Potential Loyalists ^-^,850.7076579068695,Low Value,Nurture
12509,286,1,176.5,1,1,1,111,Lost Customers -_-,754.0106039649608,Low Value,Nurture
12510,144,2,982.57,2,2,4,224,Lost Customers -_-,2098.776768095897,High Value,Win Back Campaign
12512,245,2,138.03,1,2,1,121,Lost Customers -_-,294.8330982019364,Low Value,Nurture
12513,114,1,612.29,2,1,3,213,Lost Customers -_-,2615.711913324112,High Value,Win Back Campaign
12514,269,1,1017.68,1,1,4,114,Lost Customers -_-,4347.543974181651,High Value,Win Back Campaign
12515,355,1,383.7,1,1,2,112,Lost Customers -_-,1639.172060857538,High Value,Win Back Campaign
12516,5,2,1312.06,5,2,4,524,Potential Loyalists ^-^,2802.569838635316,High Value,Growth Opportunity
12517,30,5,2502.84,4,4,5,445,OG-Champions,2138.433881051176,High Value,VIP Retention
12518,1,5,2056.89,5,4,4,544,OG-Champions,1757.412885200553,High Value,VIP Retention
12519,154,1,340.84,2,1,2,212,Lost Customers -_-,1456.073508529276,Medium Value,Growth Opportunity
12520,38,5,2634.26,4,4,5,445,OG-Champions,2250.7195168280314,High Value,VIP Retention
12521,144,1,599.68,2,1,3,213,Lost Customers -_-,2561.8418072844624,High Value,Win Back Campaign
12522,41,2,192.72,4,2,1,421,Potential Loyalists ^-^,411.6513416320885,Low Value,Nurture
12523,10,11,1789.77,5,5,4,554,OG-Champions,695.0839859172639,Low Value,Nurture
12524,11,8,4485.72,5,5,5,555,OG-Champions,2395.3827524204703,High Value,VIP Retention
12526,55,3,1316.66,3,3,4,334,Loyal Customers ;),1874.930315045336,High Value,Upsell Opportunity
12527,83,3,348.71,3,3,2,332,Loyal Customers ;),496.5647548793607,Low Value,Nurture
12528,11,6,1933.48,5,5,4,554,OG-Champions,1376.6425142154603,Medium Value,Growth Opportunity
12530,31,4,1662.28,4,4,4,444,OG-Champions,1775.3211710465653,High Value,VIP Retention
12531,16,1,125.22,5,1,1,511,Potential Loyalists ^-^,534.9416874135546,Low Value,Nurture
12532,91,1,349.83,2,1,2,212,Lost Customers -_-,1494.4789211618256,Medium Value,Growth Opportunity
12534,337,1,1089.18,1,1,4,114,Lost Customers -_-,4652.993029045643,High Value,Win Back Campaign
12535,93,2,716.35,2,2,3,223,Lost Customers -_-,1530.1288842784693,Medium Value,Growth Opportunity
12536,31,3,12601.830000000002,4,3,5,435,Loyal Customers ;),17945.067893038267,High Value,Upsell Opportunity
12538,61,1,363.95,3,1,2,312,Promising :),1554.7997694790224,Medium Value,Growth Opportunity
12539,24,4,5568.35,4,4,5,445,OG-Champions,5947.018337943753,High Value,VIP Retention
12540,21,17,13400.24,4,5,5,455,OG-Champions,3367.413116372413,High Value,VIP Retention
12541,61,3,981.18,3,3,4,334,Loyal Customers ;),1397.2051452282158,Medium Value,Growth Opportunity
12544,275,1,372.7,1,1,2,112,Lost Customers -_-,1592.17989857077,High Value,Win Back Campaign
12545,77,2,1000.39,3,2,4,324,Promising :),2136.840419548179,High Value,Growth Opportunity
12546,48,2,1161.5,3,2,4,324,Promising :),2480.972568003688,High Value,Growth Opportunity
12547,199,2,207.8,1,2,1,121,Lost Customers -_-,443.8623328722914,Low Value,Nurture
12548,168,1,95.2,2,1,1,211,Lost Customers -_-,406.6958045182111,Low Value,Nurture
12550,81,1,964.83,3,1,4,314,Promising :),4121.7679944674965,High Value,Growth Opportunity
12551,359,1,168.0,1,1,1,111,Lost Customers -_-,717.6984785615491,Low Value,Nurture
12552,41,2,437.82,4,2,2,422,Potential Loyalists ^-^,935.1867496542184,Medium Value,Growth Opportunity
12553,1,10,3692.28,5,5,5,555,OG-Champions,1577.3474633471646,Medium Value,Growth Opportunity
12556,34,2,603.71,4,2,3,423,Potential Loyalists ^-^,1289.5290133702167,Medium Value,Growth Opportunity
12557,18,5,11990.96,5,4,5,545,OG-Champions,10245.111605348087,High Value,VIP Retention
12558,302,1,269.96,1,1,2,112,Lost Customers -_-,1153.2731028123558,Medium Value,Growth Opportunity
12559,312,2,561.71,1,2,3,123,Lost Customers -_-,1199.816703550023,Medium Value,Growth Opportunity
12560,114,3,2134.01,2,3,5,235,At Risk :(,3038.8407345935143,High Value,Urgent Retention
12561,70,1,238.85,3,1,1,311,Promising :),1020.3707238358692,Medium Value,Growth Opportunity
12562,24,7,3781.74,4,5,5,455,OG-Champions,2307.949867615096,High Value,VIP Retention
12564,263,1,456.9,1,1,2,112,Lost Customers -_-,1951.8835408022128,High Value,Win Back Campaign
12565,290,1,145.92,1,1,1,111,Lost Customers -_-,623.3723928077454,Low Value,Nurture
12566,88,1,351.65,3,1,2,312,Promising :),1502.253988012909,Medium Value,Growth Opportunity
12567,24,10,9401.28,4,5,5,455,OG-Champions,4016.240686030429,High Value,VIP Retention
12569,1,32,4124.69,5,5,5,555,OG-Champions,550.6480166551405,Low Value,Nurture
12571,41,2,519.61,4,2,3,423,Potential Loyalists ^-^,1109.8907929921622,Medium Value,Growth Opportunity
12572,53,2,1020.42,3,2,4,324,Promising :),2179.6246473029046,High Value,Growth Opportunity
12573,229,1,160.54,1,1,1,111,Lost Customers -_-,685.8292485016136,Low Value,Nurture
12574,317,1,218.45,1,1,1,111,Lost Customers -_-,933.2216228676808,Medium Value,Growth Opportunity
12576,131,5,1315.83,2,4,4,244,At Risk :(,1124.2490345781466,Medium Value,Growth Opportunity
12577,244,3,657.8,1,3,3,133,At Risk :(,936.710434916244,Medium Value,Growth Opportunity
12578,23,2,2794.51,4,2,5,425,Potential Loyalists ^-^,5969.093974181651,High Value,Growth Opportunity
12579,80,1,440.42,3,1,2,312,Promising :),1881.480737667128,High Value,Growth Opportunity
12580,160,1,415.7,2,1,2,212,Lost Customers -_-,1775.8765329644998,High Value,Win Back Campaign
12581,41,1,197.71,4,1,1,411,Potential Loyalists ^-^,844.6200368833564,Low Value,Nurture
12582,240,2,511.36,1,2,3,123,Lost Customers -_-,1092.2687321346243,Medium Value,Growth Opportunity
12583,1,15,7281.38,5,5,5,555,OG-Champions,2073.7441856462274,High Value,VIP Retention
12584,19,9,2338.15,5,5,5,555,OG-Champions,1109.8456995030997,Medium Value,Growth Opportunity
12585,236,2,2040.1,1,2,4,124,Lost Customers -_-,4357.668649147072,High Value,Win Back Campaign
12586,19,1,196.94,5,1,1,511,Potential Loyalists ^-^,841.3305855232826,Low Value,Nurture
12587,302,1,144.0,1,1,1,111,Lost Customers -_-,615.1701244813278,Low Value,Nurture
12588,41,1,214.9,4,1,1,411,Potential Loyalists ^-^,918.0559704933148,Medium Value,Growth Opportunity
12589,30,2,646.68,4,2,3,423,Potential Loyalists ^-^,1381.3132503457814,Medium Value,Growth Opportunity
12590,6,2,9864.26,5,2,5,525,Potential Loyalists ^-^,21070.13212540341,High Value,Growth Opportunity
12591,319,1,452.85,1,1,2,112,Lost Customers -_-,1934.5818810511755,High Value,Win Back Campaign
12592,67,2,437.6,3,2,2,322,Promising :),934.7168280313508,Medium Value,Growth Opportunity
12593,110,3,418.1,2,3,2,232,At Risk :(,595.376456124174,Low Value,Nurture
12594,48,10,3338.22,3,5,5,355,Loyal Customers ;),1426.092508990318,Medium Value,Growth Opportunity
12596,37,2,618.27,4,2,3,423,Potential Loyalists ^-^,1320.6292807745504,Medium Value,Growth Opportunity
12597,21,4,3811.22,4,4,5,445,OG-Champions,4070.397017058552,High Value,VIP Retention
12598,11,8,3023.08,5,5,5,555,OG-Champions,1614.330295066851,High Value,VIP Retention
12599,34,7,1032.58,4,5,4,454,OG-Champions,630.1709991437791,Low Value,Nurture
12600,30,10,2599.04,4,5,5,455,OG-Champions,1110.3137224527431,Medium Value,Growth Opportunity
12601,40,5,577.06,4,4,3,443,OG-Champions,493.0417667127708,Low Value,Nurture
12602,1,1,153.12,5,1,1,511,Potential Loyalists ^-^,654.1308990318119,Low Value,Nurture
12603,23,1,739.2,4,1,3,413,Potential Loyalists ^-^,3157.873305670816,High Value,Growth Opportunity
12604,81,2,254.18,3,2,2,322,Promising :),542.9303550023052,Low Value,Nurture
12607,62,1,1579.51,3,1,4,314,Promising :),6747.690023052098,High Value,Growth Opportunity
12609,80,3,1126.85,3,3,4,334,Loyal Customers ;),1604.639941601352,High Value,Upsell Opportunity
12610,24,5,2099.54,4,4,5,445,OG-Champions,1793.8531710465652,High Value,VIP Retention
12611,54,1,1193.32,3,1,4,314,Promising :),5097.880645458737,High Value,Growth Opportunity
12612,76,1,704.04,3,1,3,313,Promising :),3007.6692669432914,High Value,Growth Opportunity
12613,59,5,3344.38,3,4,5,345,Loyal Customers ;),2857.448140156754,High Value,Upsell Opportunity
12614,161,1,315.6,2,1,2,212,Lost Customers -_-,1348.24785615491,Medium Value,Growth Opportunity
12615,73,4,2291.19,3,4,5,345,Loyal Customers ;),2446.999370677732,High Value,Upsell Opportunity
12616,216,2,713.3,1,2,3,123,Lost Customers -_-,1523.6140617796218,Medium Value,Growth Opportunity
12617,61,1,355.53000000000003,3,1,2,312,Promising :),1518.8294052558783,Medium Value,Growth Opportunity
12618,23,1,177.31,4,1,1,411,Potential Loyalists ^-^,757.4709359151683,Low Value,Nurture
12619,18,9,3641.24,5,5,5,555,OG-Champions,1728.3812222734489,High Value,VIP Retention
12620,16,3,1339.41,5,3,4,534,Loyal Customers ;),1907.3264269248505,High Value,Upsell Opportunity
12621,6,20,13689.67,5,5,5,555,OG-Champions,2924.123610419548,High Value,VIP Retention
12622,234,1,180.1,1,1,1,111,Lost Customers -_-,769.389857076994,Low Value,Nurture
12623,130,1,305.1,2,1,2,212,Lost Customers -_-,1303.3917012448132,Medium Value,Growth Opportunity
12624,108,2,641.13,2,2,3,223,Lost Customers -_-,1369.458409405256,Medium Value,Growth Opportunity
12625,6,2,2683.82,5,2,5,525,Potential Loyalists ^-^,5732.659317657907,High Value,Growth Opportunity
12626,25,9,6620.48,4,5,5,455,OG-Champions,3142.5320260232565,High Value,VIP Retention
12627,12,7,4478.53,5,5,5,555,OG-Champions,2733.1923190410325,High Value,VIP Retention
12628,183,3,786.46,2,3,3,233,At Risk :(,1119.9229076379286,Medium Value,Growth Opportunity
12630,11,2,1270.88,5,2,4,524,Potential Loyalists ^-^,2714.6090548639927,High Value,Growth Opportunity
12631,59,1,640.5,3,1,3,313,Promising :),2736.225449515906,High Value,Growth Opportunity
12633,1,4,2163.98,5,4,5,545,OG-Champions,2311.138621484555,High Value,VIP Retention
12635,32,2,1689.18,4,2,4,424,Potential Loyalists ^-^,3608.100940525588,High Value,Growth Opportunity
12637,93,8,6021.9,2,5,5,255,At Risk :(,3215.7057053941908,High Value,Urgent Retention
12638,183,1,671.69,2,1,3,213,Lost Customers -_-,2869.4695896726603,High Value,Win Back Campaign
12639,240,1,486.1,1,1,2,112,Lost Customers -_-,2076.626371599816,High Value,Win Back Campaign
12640,25,3,1174.58,4,3,4,434,Loyal Customers ;),1672.6076963270325,High Value,Upsell Opportunity
12641,117,1,185.9,2,1,1,211,Lost Customers -_-,794.1675426463809,Low Value,Nurture
12642,27,3,1013.26,4,3,4,434,Loyal Customers ;),1442.887222990625,Medium Value,Growth Opportunity
12643,40,6,3344.64,4,5,5,455,OG-Champions,2381.391904103273,High Value,VIP Retention
12644,306,1,477.91,1,1,2,112,Lost Customers -_-,2041.63857076994,High Value,Win Back Campaign
12645,111,4,1775.18,2,4,4,244,At Risk :(,1895.898787459659,High Value,Urgent Retention
12646,51,2,1346.97,3,2,4,324,Promising :),2877.13785615491,High Value,Growth Opportunity
12647,24,12,3722.82,4,5,5,455,OG-Champions,1325.3284970032273,Medium Value,Growth Opportunity
12648,126,1,318.05,2,1,2,212,Lost Customers -_-,1358.7142923005997,Medium Value,Growth Opportunity
12649,36,3,623.51,4,3,3,433,Loyal Customers ;),887.8813062855387,Low Value,Nurture
12650,182,1,314.44,2,1,2,212,Lost Customers -_-,1343.292319041033,Medium Value,Growth Opportunity
12651,101,1,114.0,2,1,1,211,Lost Customers -_-,487.0096818810512,Low Value,Nurture
12652,10,1,919.98,5,1,3,513,Potential Loyalists ^-^,3930.168132780083,High Value,Growth Opportunity
12653,150,2,2209.85,2,2,5,225,Lost Customers -_-,4720.255901337021,High Value,Win Back Campaign
12654,12,5,601.98,5,4,3,543,OG-Champions,514.3334882434301,Low Value,Nurture
12656,19,5,4051.17,5,4,5,545,OG-Champions,3461.331601659751,High Value,VIP Retention
12657,13,4,1643.18,5,4,4,544,OG-Champions,1754.922300599355,High Value,VIP Retention
12658,20,1,686.05,4,1,3,413,Potential Loyalists ^-^,2930.815721530659,High Value,Growth Opportunity
12659,61,1,91.68,3,1,1,311,Promising :),391.6583125864454,Low Value,Nurture
12660,13,1,245.1,5,1,1,511,Potential Loyalists ^-^,1047.07081604426,Medium Value,Growth Opportunity
12662,24,11,3849.78,4,5,5,455,OG-Champions,1495.119723374827,Medium Value,Growth Opportunity
12664,1,9,4881.88,5,5,5,555,OG-Champions,2317.273709338661,High Value,VIP Retention
12665,326,1,63.0,1,1,1,111,Lost Customers -_-,269.1369294605809,Low Value,Nurture
12667,1,1,620.13,5,1,3,513,Potential Loyalists ^-^,2649.204508990318,High Value,Growth Opportunity
12668,13,4,3807.15,5,4,5,545,OG-Champions,4066.050242047026,High Value,VIP Retention
12669,4,3,2744.03,5,3,5,535,Loyal Customers ;),3907.512214538189,High Value,Upsell Opportunity
12670,12,5,2996.05,5,4,5,545,OG-Champions,2559.833960350392,High Value,VIP Retention
12672,331,1,225.9,1,1,1,111,Lost Customers -_-,965.0481327800828,Medium Value,Growth Opportunity
12673,243,2,610.52,1,2,3,123,Lost Customers -_-,1304.075223605348,Medium Value,Growth Opportunity
12674,93,4,1970.6,2,4,4,244,At Risk :(,2104.608068234209,High Value,Urgent Retention
12676,26,6,1331.39,4,5,4,454,OG-Champions,947.9529537421238,Medium Value,Growth Opportunity
12678,44,12,17628.46,4,5,5,455,OG-Champions,6275.753433225756,High Value,VIP Retention
12679,1,4,1113.02,5,4,4,544,OG-Champions,1188.7094651913324,Medium Value,Growth Opportunity
12680,32,4,862.81,4,4,3,443,OG-Champions,921.4842623328722,Medium Value,Growth Opportunity
12681,16,22,13787.54,5,5,5,555,OG-Champions,2677.2988314682093,High Value,VIP Retention
12682,3,31,12288.22,5,5,5,555,OG-Champions,1693.4018429780335,High Value,VIP Retention
12683,6,15,8476.57,5,5,5,555,OG-Champions,2414.135473182726,High Value,VIP Retention
12684,26,7,2283.63,4,5,5,455,OG-Champions,1393.6715787393796,Medium Value,Growth Opportunity
12685,30,6,2863.08,4,5,5,455,OG-Champions,2038.52,High Value,VIP Retention
12686,639,1,89.14,1,1,1,111,Lost Customers -_-,380.8073951129553,Low Value,Nurture
12688,115,1,4873.81,2,1,5,215,Lost Customers -_-,20820.98822498848,High Value,Win Back Campaign
12689,27,2,1247.61,4,2,4,424,Potential Loyalists ^-^,2664.904163208852,High Value,Growth Opportunity
